CPC,Service Name,TME Category,Current CHG_Price,Upgrade_CPC,Free_CPC,Free_Period
7417,Contactos Localiza,Chats,0.15,7417,,0
17793,Chat Gay,Chats,1.0,17793,,0
8780,Desc. Gameloft,Games,2.0,8780,,0
8784,Desc. Gameloft,Games,1.0,8784,,0
9197,Desc. Microjocs,Games,3.0,9197,,0
9238,Desc.dbigames,Games,3.0,9238,,0
14887,Solo de Juegos,Games,2.0,14887,,0
17589,Desc TopGam,Games,2.0,17589,,0
24852,Contenido Glu,Games,1.0,24852,,0
24855,Contenido Glu,Games,3.0,24855,,0
24857,Contenido Glu,Games,4.0,24857,,0
26812,,Games,3.0,26812,,0
26815,JuegoTHQ 4e,Games,4.0,26815,,0
28616,Juego 3€,Games,3.0,28616,,0
29295,Juego EA 1e,Games,1.0,29295,,0
29297,Juego EA 2e,Games,2.0,29297,,0
29300,Juego EA 3e,Games,3.0,29300,,0
30410,"Juegos EA 1,99eur",Games,1.99,30410,,0
30412,"Juegos EA 2,99eur",Games,2.99,30412,,0
30415,"Juegos EA 3,99eur",Games,3.99,30415,,0
30417,"Juegos EA 4,99",Games,4.99,30417,,0
31952,"Juego Glu 1,99 eu",Games,1.99,31952,,0
31954,"Juego Glu 2,99 eu",Games,2.99,31954,,0
31956,"Juego Glu 3,99 eu",Games,3.99,31956,,0
33291,"Url 3,99 eur",Games,3.99,33291,,0
33295,"Juego HD 1,99",Games,1.99,33295,,0
33299,"Juego HD 2,99",Games,2.99,33299,,0
33301,"Juego HD 3,99",Games,3.99,33301,,0
33303,"Juego HD 4,99",Games,4.99,33303,,0
33853,Glu HD,Games,4.99,33853,,0
33855,Glu HD,Games,3.99,33855,,0
33857,Glu HD 299,Games,2.99,33857,,0
33859,Glu HD 199,Games,1.99,33859,,0
34164,Desc Juego 4 eur,Games,4.0,34164,,0
34590,Extra Juego 149,Games,1.49,34590,,0
34594,Extra Juego 249,Games,1.49,34594,,0
34597,Extra Juego 399,Games,3.99,34597,,0
34601,Extra Juego 599,Games,5.99,34601,,0
35689,Juego HD de EA,Games,3.99,35689,,0
37252,"Extra Juego 4,49",Games,4.49,37252,,0
37254,"Extra Juego 5,49",Games,5.49,37254,,0
37258,"Extra Juego 6,99",Games,6.99,37258,,0
37260,"Extra Juego 7,99",Games,7.99,37260,,0
37284,"Juego EA 3,99 D",Games,3.99,37284,,0
37308,Extra Juego EA,Games,0.75,37308,,0
37310,Extra Juego EA,Games,1.49,37310,,0
37312,Extra Juego EA,Games,2.49,37312,,0
